NodeID,ParentID,x,y,z,thickness
794,785,-0.30997,0.850476,-0.091628,0.006
12298,12297,-0.296483,0.83688,-0.0290951,0.00282843
136,132,-0.155448,0.930579,0.117395,0.016
407,395,-0.194066,0.95134,-0.10172,0.00916515
5212,395,-0.194066,0.95134,-0.10172,0.002
443,431,-0.0473928,0.925191,0.190745,0.0114891
12771,431,-0.0473928,0.925191,0.190745,0.004
197,194,-0.262042,0.932328,-0.109032,0.0193907
328,317,-0.384386,0.832048,-0.0693273,0.0156205
373,317,-0.384386,0.832048,-0.0693273,0.0107703
413,401,-0.346991,0.784882,-0.134436,0.00938083
394,377,-0.142812,0.868119,-0.303408,0.00979796
1691,1663,-0.130619,0.851981,-0.312747,0.0052915
14162,14161,-0.180992,0.867524,-0.218271,0.002
14026,14025,-0.338428,0.785181,-0.224223,0.002
140,137,-0.150282,0.798901,-0.399461,0.016
276,259,-0.124352,0.798162,-0.394919,0.0186548
310,289,-0.169314,0.781686,-0.389053,0.008
213,206,-0.211143,0.75238,-0.393167,0.0128062
270,258,-0.236959,0.640905,-0.308931,0.0116619
722,258,-0.236959,0.640905,-0.308931,0.00282843
862,841,-0.233192,0.662284,-0.330092,0.00824621
357,348,0.145167,0.774427,-0.361431,0.0168523
8233,8232,0.179522,0.769436,-0.304598,0.00282843
35,34,-0.245686,0.983726,-0.037302,0.0307896
8431,34,-0.245686,0.983726,-0.037302,0.00282843
20540,20326,-0.258584,0.961947,-0.0377073,0.002
805,794,-0.327773,0.873659,-0.0983799,0.006
12299,12298,-0.311104,0.853991,-0.00926006,0.00282843
139,136,-0.157316,0.957624,0.130244,0.016
421,407,-0.198887,0.977308,-0.115949,0.00894427
13757,407,-0.198887,0.977308,-0.115949,0.002
5301,5212,-0.219131,0.961426,-0.11476,0.002
456,443,-0.0521633,0.952985,0.200979,0.0114891
12910,12771,-0.0440934,0.949058,0.172871,0.004
204,197,-0.272821,0.957128,-0.122024,0.0193907
340,328,-0.400024,0.856042,-0.0782576,0.0156205
393,373,-0.379048,0.860965,-0.0752729,0.00894427
716,373,-0.379048,0.860965,-0.0752729,0.006
430,413,-0.352405,0.797163,-0.161266,0.00938083
406,394,-0.147892,0.894542,-0.316675,0.00979796
1710,1691,-0.120319,0.861803,-0.339156,0.0052915
14299,14162,-0.192453,0.892593,-0.206431,0.002
14027,14026,-0.356035,0.809395,-0.226142,0.002
142,140,-0.154191,0.82285,-0.417101,0.016
285,276,-0.10814,0.818508,-0.40986,0.0186548
324,310,-0.197459,0.788052,-0.397258,0.008
218,213,-0.227591,0.775308,-0.403353,0.0128062
279,270,-0.266593,0.636942,-0.306449,0.0116619
746,722,-0.253716,0.656467,-0.289514,0.00282843
874,862,-0.257195,0.67852,-0.337855,0.00824621
372,357,0.155444,0.78885,-0.385646,0.0145602
2187,357,0.155444,0.78885,-0.385646,0.00848528
8287,8233,0.204571,0.78482,-0.298609,0.00282843
36,35,-0.262885,1.0071,-0.0296844,0.0307896
8501,8431,-0.247555,0.993321,-0.00893945,0.00282843
20541,20540,-0.287976,0.966754,-0.0341041,0.002
828,805,-0.344803,0.897842,-0.103395,0.006
